episode,win_rate,epsilon
42000,0.41,0.1
42100,0.495,0.1
42200,0.505,0.1
42300,0.605,0.1
42400,0.515,0.1
42500,0.49,0.1
42600,0.51,0.1
42700,0.555,0.1
42800,0.425,0.1
42900,0.58,0.1
43000,0.63,0.1
43100,0.62,0.1
43200,0.555,0.1
43300,0.48,0.1
43400,0.565,0.1
43500,0.48,0.1
43600,0.565,0.1
43700,0.615,0.1
43800,0.665,0.1
43900,0.425,0.1
44000,0.7,0.1
44100,0.665,0.1
44200,0.72,0.1
44300,0.62,0.1
44400,0.585,0.1
44500,0.555,0.1
44600,0.65,0.1
44700,0.575,0.1
44800,0.64,0.1
44900,0.675,0.1
45000,0.46,0.1
45100,0.645,0.1
45200,0.725,0.1
45300,0.645,0.1
45400,0.67,0.1
45500,0.605,0.1
45600,0.675,0.1
45700,0.655,0.1
45800,0.575,0.1
45900,0.675,0.1
46000,0.61,0.1
46100,0.66,0.1
46200,0.515,0.1
46300,0.5,0.1
46400,0.635,0.1
46500,0.585,0.1
46600,0.64,0.1
46700,0.61,0.1
46800,0.625,0.1
46900,0.615,0.1
47000,0.69,0.1
47100,0.72,0.1
47200,0.715,0.1
47300,0.725,0.1
47400,0.725,0.1
47500,0.61,0.1
47600,0.605,0.1
47700,0.655,0.1
47800,0.525,0.1
47900,0.63,0.1
48000,0.695,0.1
48100,0.655,0.1
48200,0.72,0.1
48300,0.49,0.1
48400,0.705,0.1
48500,0.665,0.1
48600,0.575,0.1
48700,0.55,0.1
48800,0.58,0.1
48900,0.7,0.1
49000,0.695,0.1
49100,0.61,0.1
49200,0.6,0.1
49300,0.705,0.1
49400,0.62,0.1
49500,0.66,0.1
49600,0.685,0.1
49700,0.535,0.1
49800,0.635,0.1
49900,0.705,0.1
50000,0.55,0.1
50100,0.61,0.1
50200,0.64,0.1
50300,0.7,0.1
50400,0.71,0.1
50500,0.64,0.1
50600,0.675,0.1
50700,0.68,0.1
50800,0.54,0.1
50900,0.575,0.1
51000,0.57,0.1
51100,0.56,0.1
51200,0.555,0.1
51300,0.72,0.1
51400,0.69,0.1
51500,0.605,0.1
51600,0.63,0.1
51700,0.575,0.1
51800,0.6,0.1
51900,0.645,0.1
52000,0.66,0.1
52100,0.59,0.1
52200,0.62,0.1
52300,0.575,0.1
52400,0.725,0.1
52500,0.65,0.1
52600,0.68,0.1
52700,0.655,0.1
